las alturas,from above
el cuerpo,the body
adecuado,suitable
sutilmente,subtly
hacia,downward
la paleta,the color scheme
aportar,adding
acoger,welcoming
el escote,the neckline
el atuendo,the outfit
audaz,daring
juguetona,playful
ondulado,wavy
el retrato,the portrait
bañar,bathed
el paisaje,the landscape
la sombra,the shadow
el complejo,the complex
el lanzamiento,the throw
resaltar,highlight
sugerir,suggest
acoger,to host
la combinación,the combination
los destellos suaves,the soft glimmers
la oscuridad,the darkness
destellos suaves y la oscuridad del fondo,soft glimmers and the darkness of the background
el desenfoque,the blur
parpadear,blink
el aderezo,the dressing
la morada,the dwelling
la madera,the wood
morada,red onion
la fuente,the source
camaradería,camaraderie
la canasta,bread basket
la dulzura,sweetness
la frescura,freshness
en compañía,in good company
la cobertura,the coating
resaltar,highlights
jugosa,juicy
la bolita,little balls
el cesto,the basket
la guarnición,side dish
el perejil,parsley
el aperitivo,the appetizer
los vitrales,stained glass windows
evocar,evokes
fluir,flow
richo,rich
la opulencia,opulence
el adorno,the ornament
el rayo,rays
irradia,radiate
tirar,pulled
obra arquitectónica,architectural work
cúpula decorada,decorated dome
el rito,the rite
acariciar,to caress
los melocotones,peaches
aportar,contribute
posar,lands
intrigante,intriguing
la granada,the pomegranate
el barroco,the Baroque
la paleta,the color palette
peinar,to style
dorados,golden
el arete,earrings
las rizos,the curls
el plumero,feather duster
el retrato,the portrait
el joya,the jewel
el escudo,the coat of arms
majestuoso,majestic
interlazar,intertwine
el candelabro,the chandelier
el recinto,the venue
pintoresco,picturesque
enmarcar,frame
la sabiduría,wisdom
el pañuelo,the handkerchief
el festín,the feast
las bayas,the berries
una torre,a tower
los peatones,the pedestrians
imponente,imposing
un día despejado,a clear day
las enredaderas,the vines
ligeramente,slightly
el colinas,hills
exuberante,lush
sumergirse,to immerse
la planta,ground floor
el barbas,whiskers
dorados,golden
alargado,elongated
marrones,browns
maniobrar,maneuver
los barbilones,whiskers
resbaladiza,slippery
el bagre,the catfish
la antena,the antenna
las guarniciones,the garnishes
sombrío,gloomy
el brillo,the shine
la orilla,the shore
el anzuelo,the hook
sugerir,suggesting
resaltar,highlights
plateado,silvery
la frescura,freshness
acariciante,soothing
principalmente,mainly
