Display_Type,Peak_Brightness,Sustained_Brightness,Static_Contrast,ANSI_Contrast,GTG_Response,MPRT,Color_Accuracy_DeltaE
LCD IPS,400,350,1200:1,800:1,5.0,8.0,1.5
LCD VA,600,500,4000:1,2500:1,4.0,6.0,2.0
LCD TN,350,300,1000:1,700:1,1.0,2.0,3.5
OLED Consumer,600,400,1000000:1,50000:1,0.1,0.1,1.0
OLED Professional,800,600,1000000:1,80000:1,0.1,0.1,0.5
OLED Mobile,1000,600,1000000:1,100000:1,0.1,0.1,1.2
MicroLED Prototype,4000,3500,1000000:1,200000:1,0.1,0.1,0.3
MicroLED Commercial,2000,1800,1000000:1,150000:1,0.1,0.1,0.8
Mini-LED,1000,800,10000:1,5000:1,2.0,4.0,1.0
QLED Consumer,1500,1200,8000:1,4000:1,6.0,10.0,1.8
QLED Professional,4000,3000,15000:1,8000:1,4.0,6.0,0.8
QD-OLED,1000,800,1000000:1,100000:1,0.1,0.1,0.5
E-Paper,50,45,20:1,15:1,200.0,500.0,N/A
Plasma Legacy,1000,850,30000:1,15000:1,0.001,0.1,2.5
DLP Projector,3000,2500,2500:1,1500:1,16.0,16.0,2.0
Gaming LCD,500,450,3000:1,2000:1,1.0,2.5,2.5
Gaming OLED,900,700,1000000:1,80000:1,0.1,0.1,1.0
Professional Reference,300,280,1500:1,1200:1,8.0,12.0,0.3
TV LCD Budget,400,350,3000:1,1800:1,8.0,15.0,3.0
TV OLED Premium,800,600,1000000:1,50000:1,0.1,0.1,1.5
TV QLED Flagship,4000,3000,8000:1,4500:1,4.0,8.0,1.2
Mobile LCD,500,400,1500:1,1000:1,25.0,35.0,2.8
Mobile OLED,1200,800,1000000:1,80000:1,0.1,0.1,1.8
Automotive LCD,1000,900,3000:1,2000:1,15.0,25.0,2.5
Wearable OLED,1000,600,1000000:1,50000:1,0.1,0.1,2.0
Flexible OLED,400,300,500000:1,30000:1,0.2,0.3,2.5
Transparent OLED,400,300,100000:1,10000:1,0.2,0.4,3.0
Outdoor LCD,2000,1800,3000:1,2000:1,15.0,25.0,4.0
Medical Grade,500,450,2000:1,1500:1,10.0,15.0,0.5
Industrial LCD,800,700,3000:1,2200:1,12.0,20.0,2.0
Avionic Display,1500,1300,2500:1,1800:1,8.0,12.0,1.5
