index,handle,name,category,description,has_youtube
10,@minhacienda,MinHacienda Colombia,Government,Ministry of Finance and Public Credit of Colombia,Yes
12,@minticscolombia,MinTIC Colombia,Government,Ministry of Information and Communication Technologies of Colombia,No
14,@mintransporteco,MinTransporte Colombia,Government,Ministry of Transportation of Colombia,Yes
15,@presidenciamx,Presidencia México,Government,Official account of the Presidency of Mexico,Yes
18,@hacienda_mexico,Hacienda México,Government,Ministry of Finance and Public Credit of Mexico,No
19,@sct_mx,SCT México,Government,Ministry of Communications and Transportation of Mexico,No
20,@semarnat_mexico,SEMARNAT México,Government,Ministry of Environment and Natural Resources of Mexico,No
21,@economía.mexico,Economía México,Government,Ministry of Economy of Mexico,No
45,@museodeloro,Museo del Oro,Culture,Gold Museum of Colombia showcasing pre-Columbian artifacts,No
46,@elmamm,MAMM Medellín,Art,Museum of Modern Art of Medellín,No
47,@bibliotecaluisangelarango,Biblioteca Luis Ángel Arango,Culture,Major cultural library in Bogotá with events and exhibitions,No
49,@museumofmodernart,MoMA,Culture,Museum of Modern Art - world-renowned art museum in New York,Yes
54,@visitarmedellin,Visitar Medellín,Tourism,Medellín tourism and local experiences,No
55,@medellin_guru,Medellín Guru,Tourism,Comprehensive Medellín travel guide and tips,No
56,@parquescolombia,Parques Nacionales Colombia,Nature,National Parks of Colombia - natural beauty and conservation,No
63,@colombianfamily,Colombian Family,Lifestyle,Colombian family travel and lifestyle content,No
64,@visitperu,Visit Peru,Tourism,Official tourism promotion of Peru,Yes
65,@chiletravel,Chile Travel,Tourism,Official tourism promotion of Chile,Yes
67,@visitcostarica,Visit Costa Rica,Tourism,Official tourism promotion of Costa Rica,Yes
71,@uruguaynatural,Uruguay Natural,Tourism,Official tourism promotion of Uruguay,No
72,@museonacional,Museo Nacional Mexico,Culture,National Museum of Mexico showcasing Mexican history and culture,No
78,@museoreinasofia,Museo Reina Sofía,Culture,Spanish national museum of modern and contemporary art,Yes
79,@mna,MNA,Culture,National Museum of Anthropology - Mexico's premier archaeological museum,Yes
80,@inahmx,INAH México,Culture,National Institute of Anthropology and History of Mexico,Yes
81,@inba,INBA,Culture,National Institute of Fine Arts and Literature of Mexico,Yes
82,@museofridakahlo,Museo Frida Kahlo,Culture,Casa Azul - Frida Kahlo Museum in Mexico City,Yes
88,@mali,MALI,Culture,Lima Art Museum showcasing Peruvian art,No
89,@canaloncetv,Canal Once TV,Media,Mexican public television channel focusing on culture and education,Yes
90,@canal22,Canal 22,Media,Mexican cultural television channel,Yes
92,@lasestrellas,Las Estrellas,Media,Flagship entertainment channel of Televisa,Yes
97,@imagentv,Imagen TV,Media,Mexican television network focusing on news and entertainment,No
98,@multimedios,Multimedios,Media,Mexican media conglomerate with television and radio stations,Yes
99,@univision,Univision,Media,Leading Spanish-language television network in the United States,Yes
