name,handle,category,instagram_url,youtube_url,website_url,description
Presidencia de Colombia,@infopresidencia,Government,https://instagram.com/infopresidencia,,,Official account of the Presidency of Colombia - Casa de Nariño
Mexico in USA,@embamexeua,Diplomatic,https://instagram.com/embamexeua,https://www.youtube.com/@embamexeua,,"Mexican Embassy in Washington DC, USA"
Mexican Consulate Seattle,@consulmexsea,Diplomatic,https://instagram.com/consulmexsea,,,"Mexican Consulate in Seattle, Washington"
MinCultura Colombia,@mincultura,Government,https://instagram.com/mincultura,https://www.youtube.com/@MinisterioCulturaColombia,,Ministry of Culture of Colombia - promoting Colombian cultural heritage
MinEducación Colombia,@mineducacion,Government,https://instagram.com/mineducacioncol,https://www.youtube.com/@Mineducacion,,Ministry of National Education of Colombia
Alcaldía de Bogotá,@alcaldiabogota,Government,https://instagram.com/alcaldiabogota,https://www.youtube.com/@AlcaldiaBogota,,Mayor's Office of Bogotá - local government of Colombia's capital
SRE Mexico,@sremx,Government,https://instagram.com/sre_mx,,,Ministry of Foreign Affairs of Mexico
Gobierno de México,@gobmexico,Government,https://instagram.com/gobmexico,https://www.youtube.com/@GobiernoMX,,Official account of the Government of Mexico
MinDefensa Colombia,@mindefensa,Government,https://instagram.com/mindefensaco,https://www.youtube.com/@mindefensacolombia,,Ministry of National Defense of Colombia
MinHacienda Colombia,@minhacienda,Government,,https://www.youtube.com/@MinHaciendaColombia,,Ministry of Finance and Public Credit of Colombia
MinSalud Colombia,@minsaludcol,Government,https://instagram.com/minsaludcol,https://www.youtube.com/@MinSaludColombia,,Ministry of Health and Social Protection of Colombia
MinTIC Colombia,@minticscolombia,Government,,https://www.youtube.com/@MinTIC_Colombia,,Ministry of Information and Communication Technologies of Colombia
MinTrabajo Colombia,@mintrabajocol,Government,https://instagram.com/mintrabajocol,,,Ministry of Labor of Colombia
MinTransporte Colombia,@mintransporteco,Government,,https://www.youtube.com/@Mintransporte,,Ministry of Transportation of Colombia
Presidencia México,@presidenciamx,Government,,https://www.youtube.com/@PresidenciaMexico,,Official account of the Presidency of Mexico
