protocol,type,algorithm,metric,max_hops,convergence_time,scalability,use_case,admin_distance,port,features
RIP,Distance Vector,Bellman-Ford,Hop count,15,180-240 seconds,Small networks,Legacy/Simple networks,120,520/UDP,"Simple, slow convergence, prone to loops"
RIPv2,Distance Vector,Bellman-Ford,Hop count,15,180-240 seconds,Small networks,Small enterprise,120,520/UDP,"VLSM support, authentication, multicast"
OSPF,Link State,Dijkstra SPF,Cost (bandwidth),Unlimited,5-10 seconds,Large networks,Enterprise networks,110,IP Protocol 89,"Fast convergence, areas, VLSM, authentication"
IS-IS,Link State,Dijkstra SPF,Configurable,Unlimited,5-10 seconds,Very large networks,Service provider,115,Layer 2,"Protocol independent, two-level hierarchy, scalable"
EIGRP,Advanced Distance Vector,DUAL,Composite,100 default,1-5 seconds,Large networks,Cisco networks,90/170,IP Protocol 88,"Very fast convergence, unequal cost load balancing"
BGP,Path Vector,Path selection,Multiple attributes,Unlimited,30-180 seconds,Internet scale,Internet/WAN,20/200,179/TCP,"Policy-based, scalable, slow convergence"
IGRP,Distance Vector,Bellman-Ford,Composite,100 default,90 seconds,Medium networks,Legacy Cisco,100,IP Protocol 9,"Obsolete, replaced by EIGRP"
ODR,Distance Vector,Hub and spoke,Hop count,Unlimited,Variable,Small stub networks,Cisco stub networks,160,CDP-based,"On-demand routing, minimal overhead"
Static,None,Manual,Administrative,N/A,Immediate,Any size,Predictable paths,1,N/A,"No overhead, predictable, manual maintenance"
Connected,None,Direct attachment,None,0,Immediate,N/A,Local networks,0,N/A,"Automatically added for directly connected networks"
BABEL,Distance Vector,Bellman-Ford variant,Composite,Unlimited,Sub-second,Medium networks,Mesh networks,N/A,6696/UDP,"Loop-free, source-specific routing"
OLSR,Link State,MPR flooding,Hop count,Unlimited,2-5 seconds,Mobile networks,MANETs,N/A,698/UDP,"Optimized for mobile ad-hoc networks"
BGP-4,Path Vector,Path selection,AS path + attributes,Unlimited,30-180 seconds,Internet scale,Internet backbone,20/200,179/TCP,"Current Internet standard, supports IPv6"
OSPFv3,Link State,Dijkstra SPF,Cost,Unlimited,5-10 seconds,Large networks,IPv6 enterprise,110,IP Protocol 89,"IPv6 support, same as OSPFv2 concepts"
RIPng,Distance Vector,Bellman-Ford,Hop count,15,180-240 seconds,Small networks,IPv6 simple networks,120,521/UDP,"IPv6 version of RIP"
EIGRP-IPv6,Advanced Distance Vector,DUAL,Composite,100 default,1-5 seconds,Large networks,IPv6 Cisco networks,90/170,IP Protocol 88,"IPv6 support for EIGRP"
MP-BGP,Path Vector,Path selection,Multiple attributes,Unlimited,30-180 seconds,Internet scale,Multi-protocol networks,20/200,179/TCP,"Supports multiple address families"
PIM-SM,Multicast,RPF check,Metric from unicast,Unlimited,Variable,Large networks,Multicast routing,N/A,IP Protocol 103,"Sparse mode multicast, scalable"
PIM-DM,Multicast,Flood and prune,Metric from unicast,Unlimited,Variable,Small networks,Dense multicast groups,N/A,IP Protocol 103,"Dense mode, flood and prune"
DVMRP,Multicast Distance Vector,RPF with pruning,Hop count,32,Variable,Small networks,Legacy multicast,N/A,IP Protocol 2,"Obsolete, first multicast routing protocol"
MOSPF,Multicast Link State,Dijkstra SPF,Cost,Unlimited,5-10 seconds,Single AS,OSPF multicast extension,110,IP Protocol 89,"Multicast extension to OSPF"
Segment Routing,Source routing,Explicit path,IGP metric,Unlimited,IGP dependent,Large networks,MPLS replacement,IGP dependent,N/A,"Simplified MPLS, source routing"
LISP,Overlay,Map and encap,Priority/weight,Unlimited,Sub-second,Large networks,Mobility/virtualization,N/A,4342/UDP,"Location/ID separation, mobility support"
VXLAN,Overlay,MAC learning,L2 over L3,Unlimited,Variable,Data center,Data center overlay,N/A,4789/UDP,"24-bit VNI, 16M segments"
EVPN,Overlay,BGP control plane,BGP attributes,Unlimited,BGP dependent,Large L2 networks,Data center L2 extension,20/200,179/TCP,"BGP-based L2VPN, all-active redundancy"
BFD,Detection,Echo/async,N/A,N/A,50ms-1s,Any size,Fast failure detection,N/A,3784/UDP,"Sub-second failure detection"
HSRP,First Hop Redundancy,Master/backup,Priority,N/A,3-10 seconds,LAN,Gateway redundancy,N/A,1985/UDP,"Cisco proprietary, virtual IP"
VRRP,First Hop Redundancy,Master/backup,Priority,N/A,3-4 seconds,LAN,Gateway redundancy,N/A,IP Protocol 112,"Open standard, virtual router"
GLBP,First Hop Redundancy,Active/active,Priority + weight,N/A,3-10 seconds,LAN,Load balanced gateway,N/A,3222/UDP,"Cisco, load balancing across gateways"
